,reviews
27, my family and i have flown mostly on british airways for the last years i am a priority passenger and fly often enough to recognise cabin crew and know some by name they used to be a really good airline to fly with things have really deteriorated with their face to face customer care since the pandemic the aircraft look worn for example on my flight back my audiovisual equipment did not work and had to be reset twice finally working in the last hour before we landed the second time around i think the reset was done for the whole aircraft the touch screen function on my screen did not work the usb charger ports on my seat did not work the staff were pleasant enough but their service oozed mediocrity there did not seem to be much pride in what they were doing the food has been the worst part on our ba flights since the pandemic they gave us a menu asked what we d like did a check and then told us that it was not available as they had run out and would we like to choose something else they then told us that we d get first choice at the second service which they couldn t deliver on finally after choosing and getting whatever it is that we did the food was tasteless we take part in post flight surveys regularly and have stated all of this to no avail as a family of we fly british airways medium to long haul regularly possibly times a year each for us the good things about flying ba are that we are priority customers usually have a direct flight to our destinations and get good service on the ground when checking in and in the lounges when we use them 
28, this has been by far the worst service i have had on a plane it s very obvious that if you are flying economy and not a frequent traveler of british airways they care very little about you we had to wait an hour for them to even open the check in once they did they had lines and only one that serviced economy even though the line for economy was three times the length of the premium classes then they told economy passengers that all bags had to be check and no carryon due to a full flight and no room in the overhead compartments once we arrived at the gate there were not enough seats to fit everyone and you couldn t leave the boarding area i will never fly this airline again 
29, in nov i booked and paid for a return journey to new zealand on my return journey my final flight was from london to edinburgh on trying to check in i was told my ticket did not exist i showed evidence of my flight being booked and paid for but was denied a ticket my only option was to buy a ticket for a later flight which cost since nov ie months ago i have communicated multiple times with ba in an attempt to have my money returned they have admitted responsibility for their error which cost me i finally received word from them that they have decided to refund me the sum of i have asked for an explanation but have received none only a polite e mail informing me that the decision was checked and was correct i do not intend to let this matter go a company worth billions of pounds will not return an honest refund ps they also lost my luggage and did nothing to help me retrieve it i tracked it down myself a week later to edinburgh airport and picked it up myself 
30, ba is not treating its premium economy passengers with respect you pay for a premium economy service and are then compelled to use the economy toilets at the back of the plane this is short changing passengers 
31, hours before our departure on ba to cape town from heathrow on thursday th june we did an online check in seats had already been allocated for my wife and i e and f which are the middle two seats of the central block of four these were totally unsuitable for us as we are in our late s and getting in and out of seats to stretch our legs or go the the toilet would mean climbing over a person on the aisle but there were no other seats available we got to heathrow about hours before departure and tried to change seats at check in to no avail although the lady was very sympathetic and tried her utmost she did offer us an upgrade to premium economy but at gbp each it was beyond our affordability she said we should try again at the departure gate but that also failed we spoke to a member of the flight crew who was totally unsympathetic the economy seats are so tiny that i was jammed shoulder to shoulder between by wife and a stranger with knees touching the seat pocket in front for hours we suffered when we did manage to get out of our seat due to the kindness of the young lady next to me on the aisle it was a mission trying to clamber past the reclined backrest in front of me ba economy is absolutely awful the evening meal was near inedible both choices were spicy foods which are not very suitable when flying especially for an older person the breakfast spanish omelette was however not bad at all the previous day we had flown economy from malta to heathrow on malta airlines and that hour trip was a pleasure the seats are wide and there is ample legroom if they can do it then why not british airways 
32, we arrived at heathrow at to find our flight to ibiza was cancelled by ba with no explanation as if that wasn t galling enough the customer service from ba at the airport was non existent there was no explanation no apology and no assistance in finding an alternative flight we ve managed to find another flight from stansted but that isn t until much later today thus wasting a chunk of our short trip i simply don t understand why ba don t proactively contact their customers to notify them of a cancellation and work with them to resolve the problem shocking customer service 
33, original flight was cancelled with no explanation there was no representative to help in rebooking we had to call customer service long distance call the line kept dropping had to do calls to find new booking only to discover the only way i could fly the next day was by paying business class no help with hotel for the night stay 
34, airport check in was functionary with little warmth but some efficiency flight was delayed with no communication given boarding was chaotic and no management of the process by ground staff seats on board are tight and you really feel like they have crammed in every seat possible there is next to no recline however i was thankful that there was no recline if the person in front had even the slightest recline they would be in my face owing to how tight the seats were spaced on this a aircraft no amenities on this flight except for a toilet that was clean but small no ife no food and beverage unless you pay extra but the staff were friendly luggage arrived at the carousel within a very short amount of time 
35, flight fine in line with competitors pleasant crew only niggle is bussed to and from aircraft at heathrow it seems like this is standard for the berlin flights would use again 
36, came from glasgow to london and took connecting flight american airlines from london to north carolina it s my third day here in north carolina and still waiting for my luggage they didn t even bother to transfer the luggage to connecting flight luggage are still in glasgow 
37, my flight on on may got delayed an hour and minutes which resulted in the cancellation of our connection flight on may as the arrival of the first flight was only before the departure of the second connecting flight we contacted the ba call center multiple times to make changes to the flight in order to still arrive on the th of may to kef airport through different flights the team tried to find a solution but none made sense not even on the next day the th of may we have made full booking of accommodation car rental activities etc for the vacation in iceland the cancellation of of these booking is not refundable the call center suggested that we cancel the flight for a full refund then claim compensation for the delay and difference in airfare cost and other non refundable bookings due to the delay and cancellation of our flight british airways responded to the claim after a month with no compensation at all even though we paid additional on new bookings and additional charges the refund of the cancelled flight took more than a month with multiple calla to follow up almost every week i was promised to get refund on the first call but later i found out it was not processed properly every time i call the agent ask questions about why flight was canceled etc which is annoying when my understanding everything was under process for payment after multiple calls i was refunded partially and not the full amount which is even bizarre from a company of this level i had to make more calls to get the remaining balance refunded the whole experience was terrible 
38, cairo is a hour flight and ba considers it to be short haul so everyone is crammed in with knees pressed up against the seat in front and nothing in the way of inflight entertainment not even a magazine which is now available by wifi that you have to pay for you have to pay for your seat choice checked in baggage food drink wifi not that i have anything against that i m used to that on budget airlines but this is for a premium price ticket i would have preferred to fly on easyjet where the initial ticket would have been less and the extras would have been half the price the ba app and website makes it really difficult to understand the extras and we ended up with baggage on the wrong ticket so had to pay extra and don t get me started on their customer service helpline on board the staff are ok but on the long cairo london route they spend most of their time on a break where they use the back row or two and talk loudly without any consideration for the passengers and for the flyers who don t want the hassle of charges minimal cabin service and budget seats then they could easily provide a premium economy option and really make a difference for the experience heathrow terminal compounds the poor experience especially for arrivals it is also poorly served by transport links especially for those of us who live near gatwick which is being abandoned by ba i have been a frequent flyer for many years and was even a ba gold card holder at one point so i know about the potential experience i used be able to make the choice do i fly budget or do i fly more comfortably for more now it s a case of flying budget or flying budget for double the price with ba 
39, after travelling london to madrid with british airways then with iberia from madrid to lima and latam to cuzco my luggage arrived days after me when attempting to collect my luggage mine was the only one not to arrive i sought help and was informed to make a claim online when my bag finally arrived days later the lock had been forced open and everything inside the case searched someone emptied my st aid kit and toiletries and threw my clothing about i felt violated i have been treated appallingly from start to finish for a month i have been back and forth to british airways yet they stated it is not their fault 
40, my luggage was mis tagged in dallas on my way to cairo via london my luggage arrived at lhr as planned on saturday however upon arrival due to the luggage being mis tagged and having the incorrect name on my luggage it was never sent to cairo its sitting in terminal in lhr i have an air tag on my luggage and british airways is saying there is nothing they can do about it i have filed claims made phone calls have been hung up on x and as simple as it is to solve this problem the workers at ba refuse to solve the problem 
41, the airline lost my luggage and was absolutely awful throughout the entire trip they gave me no updates their website sucks and it was nearly impossible to get someone on the phone they finally delivered my luggage to my hotel after i had left to go back to the us days after i told them to ship it back to the us now i ve been calling everyday begging them to get my bag back to me they appease me on the phone tell me they re fixing it but nothing changes the hotel can t get in touch with them and they haven t even tried to pick to bag back up several times when i called i got a message saying they were not answering due to too many complaints and calls and to call back later 
42, we booked on the ba website round trip flights from seattle to amman with a stop in london in business class our first flight was delayed and then diverted to nyc and enroute my husband experienced a medical emergency when we landed in nyc we were taken to a hospital and i stayed in constant contact with the airline agent who had arranged for the ambulance transfer the same evening we flew back home confirming cancellation of all remaining flights with the agent at the airport for the next several weeks we spoke many times with ba customer service trying to obtain some kind of refund we were met with contradictory explanations excuses and an absence of meaningful customer service we discovered we had been marked as no shows for our flight to amman and that our return flight was still active we were unable to cancel the return on the website despite booking on the website our phone calls were never returned we spent a minimum of minutes on hold for every phone call we made our emails received only canned replies without answers or explanations we were told it was not possible to receive a copy of the ticketing rules and regulations nor to speak with a supervisor and after several weeks of this abysmal customer service i filed a complaint with the faa in response to my complaint i received an email from ba customer service explaining that they had reviewed my many requests for a full refund but that could not be accommodated due to the ticketing rules they would issue flight credits except for the portion for which we no showed they did not state how many credits we never once asked for a full refund we asked to read the rules and to receive a partial refund we will not use the credits we were fully refunded by our travel insurance 
43, first time flying with ba business class never again there are no boarding drinks provided my meal quality was below business class standards as was the quality of the wine on arrival at bodrum my bags were among the last to appear not looking forward to the same chaos on the return flight 
44, you can buy sandwiches and crisps but don t expect a hot meal because the plane is a narrow body there are no screens not helping matters is the fact that the ba prebooking shop for food didn t recognise the flight number and the onboard wifi didn t work 
45, this is a two for one review covering economy and business class on the ba flight from london city to ibiza economy was excellent a very light lunch small cheese and pastrami sandwich chocolate brownie followed by a pretty much free flowing drinks trolley the flight was full but the crew worked hard and did a very good job this is a flight i would recommend except don t fall for the last minute offer for an upgrade to business for in each direction as i did i flew economy out and business back while my brother flew business then economy the business seats are identical to economy with no seats blocked so you are squished in four abreast the meals are almost identical with minor tweaks such as a yoghurt for your the only real plus is champagne but on my flight there was none because of supply issues the cabin attendant i think his name was tom must be one of the best in the business i didn t eat so i paid for nothing oh well so great flight but stick with economy 
46, absolutely horrible airline communication is terrible last minute delays cancellations seat changes with no communication app and website user experience is years behind other airlines seats are cramped and uncomfortable overpriced would not fly again 
47, having experienced delays and cancellations departing from usa to europe and now a hour estimated delay at lhr heading back to usa i would warn travelers that ba has become unreliable and is now on my do not fly list until they get better organized 
48, travelled to heathrow to kalamata and return journey days later world traveller aka economy class both flights departed on time return flight landed early but we then had a hour wait for the baggage to be offloaded which rather ruined the journey home as we then caught a motorway closure flights ok fa s particularly on return flight pleasant enough but as usual economy class seating was truly dreadful no legroom at all no better in club class either only the middle seat left free marked down because of this can only recommend if you are not tall 
49, this flight failed at every level we were delayed and arrived at our destination late so that our prepaid car transfer phoned to advise us that he could only wait another minutes for us but this was a ba holiday we pre ordered food for our flight and this was never loaded onto our flight and to finally compound british airways complete and utter uselessness our luggage was still in heathrow as there is no flight tomorrow the earliest this luggage could possible arrive is very late on wednesday evening having only the clothes that you flew in and reading you can only claim for toiletries and underwear seems to be the antithesis of a happy holiday i might have expected a complimentary scone in lieu of no food but no we were told that we could purchase from the trolley what they had available i would like to make it clear that we are british airways bronze level holders which as we have been long retired shows how we have used this airline historically 
50, beware of british airways and their marketing to make you believe that they are full of class and level above the rest they won t treat you that way when you get bumped from a flight and it is their responsibility to compensate you for their mistakes we recently had a trip home planned from mrs to sea a mechanical issue meant that we departed late from mrs to lhr where we needed to make a connecting flight we landed with plenty of time to make it to our next gate but a series of issues and choices by british airways kept us from boarding our next plane the crew did not let off passengers with connecting flights first nor did they hold the next flight for a mere minutes for passengers to make connections on their airlines plus we discovered that we had actually been bumped off our next flight before we even landed we were pushed to virgin atlantic to figure out how to get us home it extended our travel day by hours we were traveling with children as well no offers of compensation or upgrades were made and now ba is refusing to provide us any financial compensation we paid for a trip home with only one connection and instead had two connections multiple airlines to deal with security through an extra airport with kids for a midnight flight we were never planning on that is not what we paid for but ba refuses to make it right so beware potential travelers 
51, i flew from cairo to heathrow on what they call euro club class which is a cramped coach seat with the middle empty seat horrible service i get to heathrow airport minutes late so i had to run around looking for my connecting flight finally jumping through escalators and train to another building where is my gate given a seat that is different than what i paid extra for it s a shame for such well known airline 
52, i flew with numerous airlines but i gotta admit british airways is by far the worst airline ever when it comes to customer support i waited weeks for a ticket change call center workers are giving you false information just so they would make you hang up they told me i was supposed to get an email from them with the flight changes but never got they don t have a live chat just like american airlines do they don t have a online form to submit your questions they don t have a working international number total garbage 
53, we were traveling as a family people because of an accident by the airport we arrived at the airport only hour before the flight the kiosk was unable to read one of our passports and we had to go to check in the lady at the check in checked the passport and gave us a boarding pass because we had no extra time we headed straight to security and didn t realize the lady gave us a duplicated boarding pass not of the passport holder we got stuck in security because of that couldn t figure out what was wrong we only didn t miss the flight because we ran through the airport with a year old and a year old included in the party the staff at the gate was very cordial and helpful once we arrived there 
54, flight at am from dub to lcy cancelled pm night before no text message no phone waiting at bus stop and randomly checked email to see alternate flight option hang on what s this it was dark at am it was hard to see mobile phone screen i m still jet lagged only option was to lhr at am tried calling no one there so accepted it but i didn t see the day change it was the next day i didn t want the flight as was staying at docklands hence choosing lcy but thought i better take it as it s leaving an hour after the original flight nope i better call to say hey sorry i screwed up your flight is not going to work for me i don t have any more accommodation in dublin and i don t want to waste one night in london called the most surly customer service can you even be called that when you treat people like this answered she kept calling me james not my name she was brutal you accepted it i can t do anything she basically made me feel like a moron because in a moment of confusion i accepted the first available flight from the stupid supercomputer she kept telling me about the algorithm and this was the flight that was chosen but if you had called us we could have put you onto a aer lingus flight why didn t you call you are at fault just so callous and uncaring she wanted to charge me pounds in new flights and change fees i said nope and booked a flight today with ryanair plus i need to find my way from gatwick to docklands more money from me because of ba s utter contempt for their passengers i ve been flying qantas for years and they can do some funky stuff but never this level of cruelty because of one simple error never again how do people accept such utter contempt and ineptitude welcome to the u k just wow 
55, terrible i have traveled twice with them this year via business class and they have been significantly delayed or cancellations with connecting flights the customer service or complete lack of it is appalling and has forced me to change credit cards as i no longer intend to use ba for any further flights terrible uncomfy old planes and miserable staff 
56, the customer service is ugly tried calling two weeks ago but still had problems with flight all i get is someone in india i thought i was flying iberia once i looked close at ticket it was british airways will never fly british airway ever again 
57, most uncomfortable flight i have ever experienced it s a long time since i have flown long haul the cramped conditions were awful the rows were so close together when the person in front reclined their seat my tv was so close i couldn t focus on it ba seem to want to make economy so uncomfortable to encourage customers to upgrade this has not worked on me i will avoid flying ba in future my onward flight was with latam same aircraft but more room between rows far more comfortable on the return flight from santiago the lights were turned down at pm i feel the cabin crew do this to avoid providing a service they just disappear behind the curtains 
58, i booked our first out of country trip to take my husband on a surprise trip to monaco i gave us over hours for our connecting flight to and from home through heathrow our flight left seattle an hour late causing us to miss our connecting flight we were rescheduled before we even landed they booked us on a flight hours later and offered no food tickets or any other type of reimbursement additionally we sat in their customer service line for an hour and a half to see if they could rebook us on an earlier flight to watch them continually assist other customers that walked up outside of the queue no earlier flights were available when we arrived in nice france the airport was closed including the rental car desk we were not offered any assistance from the airline on a room or other accommodation for the night we found a cab which cost us euros one one to get to our hotel we thought there is no way something like this could happen on the way home we were wrong our flight from nice to heathrow was minutes late with a hour layover you would think we should still make our flight unfortunately long security lines caused over hr further delay when arriving ba closed the doors and said they could not hold the plane any longer despite arriving mins before departure after running through the heathrow airport and going through security again they sent us back to the customer service queue where the first statement was we can t get you out until tomorrow after begging they found us a flight on another airline at that time we were told our bags were transferred to our flight with delta we were given pounds each for snacks at the airport for our now additional hour delay in total for our trip there and home we spent hours at heathrow airport which our original total layover of hours and we were offered pound each unfortunately the drama continues the two bags that they said made the delta flight shockingly did not we were told that we had the file the claim with delta since the last part of our flight was with them we have now been home for days and each airline is pointing the finger at the other as i said to both of them today i don t care who has my bags figure it out and send me my luggage i don t want your reimbursement per bag as that doesn t come close to the memories and stuff that i have in there i will never fly british airways again and delta s baggage people are not doing great either 
